t,mu,totalDamage
3.98,0.0575,4.9866138671875E-05
4,0.06125,4.98662001953125E-05
4.02,0.04625,4.98682861328125E-05
4.04,0.01125,4.993344628906251E-05
4.06,-0.01,5.0056679687500005E-05
4.08,-0.02125,5.01598544921875E-05
4.1,-0.03875,5.05935322265625E-05
4.12,-0.0475,5.112190234375E-05
4.14,-0.0175,5.113540234375E-05
4.16,0.02,5.127567578125E-05
4.18,0.0325,5.1377902343750006E-05
4.2,0,5.139506640625E-05
4.22,-0.01875,5.1445208007812505E-05
4.24,-0.0175,5.1445208984375005E-05
4.26,-0.03625,5.15403798828125E-05
4.28,-0.0625,5.2650341796875E-05
4.3,-0.05125,5.26510537109375E-05
4.32,-0.02375,5.26794345703125E-05
4.34,-0.005,5.2745396484375E-05
4.36,0.03,5.3046068359375E-05
4.38,0.0925,5.4512279296875E-05
4.4,0.15625,5.78841064453125E-05
4.42,0.175,6.0416917968750004E-05
4.44,0.16875,6.04170400390625E-05
4.46,0.14625,6.04287998046875E-05
4.48,0.11125,6.05464599609375E-05
4.5,0.07625,6.0898401367187504E-05
4.52,0.08375,6.08986123046875E-05
4.54,0.1,6.0905099609375E-05
4.56,0.08625,6.0906399414062496E-05
4.58,0.075,6.0930314453125E-05
4.6,0.0525,6.1349447265625E-05
4.62,-0.025,6.4430314453125E-05
4.64,-0.0675,6.7560572265625E-05
4.66,-0.095,7.0271814453125E-05
4.68,-0.12375,7.37622666015625E-05
4.7,-0.15625,7.86037763671875E-05
4.72,-0.16,7.9228001953125E-05
4.74,-0.1225,7.925436914062499E-05
4.76,-0.1,7.9336001953125E-05
4.78,-0.08,7.9484001953125E-05
4.8,-0.0125,8.0832525390625E-05
4.82,0.04,8.3228001953125E-05
4.84,0.05875,8.446176660156249E-05
4.86,0.05875,8.446176660156249E-05
4.88,0.0525,8.4461888671875E-05
4.9,0.0125,8.451123242187499E-05
4.92,-0.09375,8.623505566406249E-05
4.94,-0.17625,9.256585253906249E-05
4.96,-0.17625,9.256585253906249E-05
4.98,-0.15375,9.257154785156249E-05
5,-0.0825,9.297783984374999E-05
5.02,-0.03125,9.409016503906248E-05
5.04,-0.0425,9.409087695312499E-05
5.06,-0.07125,9.41221650390625E-05
5.08,-0.12875,9.45535947265625E-05
5.1,-0.11,9.4556890625E-05
5.12,-0.05375,9.47645322265625E-05
5.14,0.0075,9.659478515625E-05
5.16,0.06375,0.00010040471191406249
5.18,0.0475,0.000100406857421875
5.2,0.01125,0.00010047706347656249
5.22,-0.00875,0.00010059525097656248
5.24,-0.0025,0.00010059537304687499
5.26,0.02625,0.00010061668847656249
5.28,0.0375,0.000100644716796875
5.3,0.05125,0.00010070325097656249
5.32,0.1025,0.0001047034453125
5.34,0.12625,0.00010771411035156249
5.36,0.0675,0.00010781549999999999
5.38,0.0225,0.00010827249609374998
5.4,0.01,0.000108499615234375
5.42,0.01125,0.0001084996162109375
5.44,0.01125,0.0001084996162109375
5.46,-0.02,0.00010927818749999999
5.48,-0.04375,0.00011017061230468749
5.5,-0.0625,0.00011107636914062499
5.52,-0.08625,0.00011251196386718749
5.54,-0.08,0.00011251208593749998
5.56,-0.02125,0.00011264927636718749
5.58,-0.02,0.00011265735156249998
5.6,-0.00875,0.0001127447060546875
5.62,-0.0375,0.00011275658789062499
5.64,-0.1175,0.000115420685546875
5.66,-0.14375,0.0001180210966796875
5.68,-0.11125,0.0001180382607421875
5.7,0.03125,0.0001207007841796875
5.72,0.1575,0.000132610326171875
5.74,0.20375,0.0001414582763671875
5.76,0.16,0.000141500146484375
5.78,0.03375,0.00014391477636718748
5.8,-0.09625,0.0001549582763671875
5.82,-0.18875,0.00017169181542968747
5.84,-0.13,0.00017179320507812497
5.86,-0.03125,0.00017364530761718747
5.88,0.04,0.00017767666601562496
5.9,0.08,0.00018139725976562497
5.92,0.0375,0.00018143564257812496
5.94,-0.015,0.00018182594726562498
5.96,-0.0475,0.00018243359570312498
5.98,-0.0675,0.00018300178320312499
6,-0.01,0.000183096837890625
6.02,0.00875,0.00018322344433593747
6.04,-0.0225,0.00018323870312499996
6.06,-0.07875,0.00018384095605468746
6.08,-0.14375,0.00018744149902343748
6.1,-0.165,0.00018919364453124998
6.12,-0.1075,0.00018928869921874998
6.14,0.01625,0.00019217081738281247
6.16,0.11125,0.00020034126269531248
6.18,0.13875,0.00020440447363281248
6.2,0.08625,0.00020447682519531248
6.22,-0.03375,0.00020697095019531247
6.24,-0.12,0.00021306633203124997
6.26,-0.13,0.00021410991796874998
6.28,-0.06375,0.00021425530566406248
6.3,0.01875,0.00021575558105468748
6.32,0.09,0.00021943391796875
6.34,0.1325,0.00022315386328125
6.36,0.1675,0.00022885871874999997
6.38,0.16,0.00022885892968749997
6.4,0.09375,0.00022905928417968748
6.42,0.05,0.0002296698359375
6.44,0.0525,0.00022966984375
6.46,0.0575,0.000229670046875
6.48,0.075,0.00022967764843749997
6.5,0.06,0.00022967933593749998
6.52,-0.01,0.00023167052343749998
6.54,-0.015,0.00023191353906249997
6.56,0.04875,0.00023204308105468746
6.58,0.08375,0.00023239502246093747
6.6,0.04,0.00023243689257812497
6.62,-0.04125,0.00023438561425781246
6.64,-0.03125,0.00023438611425781247
6.66,0.005,0.00023443508007812497
6.68,-0.01375,0.00023443837597656247
6.7,-0.02125,0.00023444412402343746
6.72,0.05125,0.00023479942871093746
6.74,0.18375,0.00024218879003906244
6.76,0.18625,0.00024271262597656249
6.78,0.0675,0.00024354990624999998
6.8,-0.0675,0.00025088198828125
6.82,-0.13,0.000258527349609375
6.84,-0.10375,0.0002585363935546875
6.86,-0.0625,0.00025868112304687496
6.88,-0.0525,0.00025876009179687503
6.9,-0.0475,0.000258808107421875
6.92,-0.02875,0.0002590463349609375
6.94,-0.02375,0.0002591270810546875
6.96,-0.0175,0.000259239263671875
6.98,-0.0125,0.000259338466796875
7,0.03125,0.0002606237255859375
7.02,0.10375,0.0002649132900390625
7.04,0.10375,0.0002649132900390625
7.06,0.0875,0.000264915435546875
7.08,0.00625,0.0002653767197265625
7.1,-0.065,0.000267316
7.12,-0.04375,0.00026732079785156247
7.14,-0.00625,0.0002674173896484375
7.16,-0.02,0.00026741868945312497
7.18,-0.0525,0.00026746685546875
7.2,-0.0475,0.00026746691796875
7.22,0.005,0.000267586431640625
7.24,0.06125,0.0002684210849609375
7.26,0.02875,0.00026843824902343747
7.28,-0.04875,0.0002690865849609375
7.3,-0.01875,0.00026910008496093746
7.32,0.075,0.00027011793164062495
7.34,0.085,0.000270433431640625
7.36,0.0175,0.000270587205078125
7.38,-0.0475,0.00027159653320312497
7.4,-0.06875,0.0002722846982421875
7.42,0.0525,0.00027317598046875
7.44,0.12,0.00027627773437500006
7.46,0.0375,0.00027655849218750006
7.48,-0.08125,0.00028035320410156253
7.5,-0.175,0.00029184735546875006
7.52,-0.25625,0.0003130771591796876
7.54,-0.36125,0.0003545902216796875
