t,mu,totalMu,totalDamage,
0.8,0.07,0.4575,5.5437927246093755E-06,
0.82,0.04625,0.48125000000000007,5.576662063598633E-06,
0.84,0.01875,0.50875,5.75407600402832E-06,
0.86,-0.015,0.5425,6.347801208496094E-06,
0.88,-0.0325,0.56,6.887760162353516E-06,
0.9,-0.03625,0.56375,7.0283679962158205E-06,
0.92,-0.03,0.5700000000000001,7.0286064147949215E-06,
0.94,-0.01625,0.58375,7.03618049621582E-06,
0.96,0.00375,0.60375,7.09086799621582E-06,
0.98,0.01875,0.61875,7.19084358215332E-06,
1,0.01875,0.61875,7.19084358215332E-06,
1.02,0.02625,0.62625,7.266786575317383E-06,
1.04,0.03625,0.63625,7.400514602661133E-06,
1.06,0.01625,0.65625,7.408327102661132E-06,
1.08,-0.01,0.6825000000000001,7.497127532958984E-06,
1.1,-0.02125,0.6937500000000001,7.58616828918457E-06,
1.12,-0.01125,0.7037500000000001,7.58714485168457E-06,
1.14,-0.00625,0.70875,7.58946418762207E-06,
1.16,0.0025,0.7175,7.599250793457031E-06,
1.18,0.00875,0.7237500000000001,7.61253547668457E-06,
1.2,0.00375,0.72875,7.61265754699707E-06,
1.22,-0.00375,0.7362500000000001,7.6144428253173825E-06,
1.24,-0.0125,0.7450000000000001,7.621906280517578E-06,
1.26,-0.01625,0.74875,7.62779426574707E-06,
1.28,-0.0275,0.7600000000000001,7.706260681152344E-06,
1.3,-0.05125,0.7837500000000002,8.485673904418945E-06,
1.32,-0.06625,0.7987500000000001,9.317338943481447E-06,
1.34,-0.055,0.81,9.318729400634768E-06,
1.36,-0.045,0.8200000000000001,9.326709747314455E-06,
1.38,-0.04,0.8250000000000002,9.335002899169922E-06,
1.4,-0.03,0.8350000000000002,9.363857269287111E-06,
1.42,-0.0025,0.8625,9.570350646972658E-06,
1.44,0.04125,0.9062500000000002,1.0530519485473636E-05,
1.46,0.04375,0.9087500000000002,1.0617143630981447E-05,
1.48,0.02875,0.9237500000000001,1.0620439529418947E-05,
1.5,0.0075,0.9450000000000001,1.066366195678711E-05,
1.52,-0.0025,0.9550000000000001,1.0713756561279298E-05,
1.54,0,0.9575000000000001,1.0713771820068361E-05,
1.56,0.00875,0.96625,1.071514701843262E-05,
1.58,0.01875,0.9762500000000001,1.0723127365112306E-05,
1.6,0.02125,0.9787500000000002,1.0726839065551758E-05,
1.62,0.02125,0.9787500000000002,1.0726839065551758E-05,
1.64,0.0325,0.9900000000000002,1.0755626678466798E-05,
1.66,0.04625,1.0037500000000001,1.0901021957397463E-05,
1.68,0.0575,1.0150000000000001,1.1361263275146486E-05,
1.7,0.09,1.0475,1.3338439941406254E-05,
1.72,0.11,1.0675000000000001,1.5160552978515628E-05,
1.74,0.105,1.0725,1.5160675048828128E-05,
1.76,0.09625,1.08125,1.51630916595459E-05,
1.78,0.0825,1.0950000000000002,1.5180862426757816E-05,
1.8,0.0525,1.125,1.5346206665039064E-05,
1.82,0.0525,1.125,1.5346206665039064E-05,
1.84,0.06875,1.14125,1.5350397109985354E-05,
1.86,0.0925,1.165,1.5408706665039065E-05,
1.88,0.08125,1.17625,1.5410097122192385E-05,
1.9,0.05375,1.20375,1.546552848815918E-05,
1.92,0.025,1.2325000000000002,1.5885284423828126E-05,
1.94,0.02375,1.2337500000000001,1.5912134170532228E-05,
1.96,0.03,1.2400000000000002,1.591237258911133E-05,
1.98,0.035,1.245,1.5913524627685548E-05,
2,0.06,1.27,1.5958652496337894E-05,
2.02,0.0725,1.2825000000000002,1.6025276184082033E-05,
2.04,0.09125,1.30125,1.6212472915649417E-05,
2.06,0.10625,1.3162500000000001,1.6460489273071292E-05,
2.08,0.07625,1.3462500000000002,1.648685646057129E-05,
2.1,0.03625,1.38625,1.679545021057129E-05,
2.12,0.0025,1.4200000000000002,1.759544372558594E-05,
2.14,-0.0075,1.4300000000000002,1.7966476440429688E-05,
2.16,-0.01625,1.4387500000000002,1.83474063873291E-05,
2.18,-0.02875,1.4512500000000002,1.8990812301635745E-05,
2.2,-0.0275,1.4525000000000001,1.899081420898438E-05,
2.22,-0.02125,1.4587500000000002,1.8991224288940432E-05,
2.24,-0.01625,1.46375,1.899271965026856E-05,
