t,acc,,,,,,,,,,,,,,,,
4.18,0.0,,,,,,,,,,,,,,,,
4.20,-1.5,,,,,,,,,,,,,,,,
4.22,-1.4,,,,,,,,,,,,,,,,
4.24,-2.9,,,,,,,,,,,,,,,,
4.26,-5.0,,,,,,,,,,,,,,,,
4.28,-4.1,,,,,,,,,,,,,,,,
4.30,-1.9,,,,,,,,,,,,,,,,
4.32,-0.4,,,,,,,,,,,,,,,,
4.34,2.4,,,,,,,,,,,,,,,,
4.36,7.4,,,,,,,,,,,,,,,,
4.38,12.5,,,,,,,,,,,,,,,,
4.40,14.0,,,,,,,,,,,,,,,,
4.42,13.5,,,,,,,,,,,,,,,,
4.44,11.7,,,,,,,,,,,,,,,,
4.46,8.9,,,,,,,,,,,,,,,,
4.48,6.1,,,,,,,,,,,,,,,,
4.50,6.7,,,,,,,,,,,,,,,,
4.52,8.0,,,,,,,,,,,,,,,,
4.54,6.9,,,,,,,,,,,,,,,,
4.56,6.0,,,,,,,,,,,,,,,,
4.58,4.2,,,,,,,,,,,,,,,,
4.60,-2.0,,,,,,,,,,,,,,,,
4.62,-5.4,,,,,,,,,,,,,,,,
4.64,-7.6,,,,,,,,,,,,,,,,
4.66,-9.9,,,,,,,,,,,,,,,,
4.68,-12.5,,,,,,,,,,,,,,,,
4.70,-12.8,,,,,,,,,,,,,,,,
4.72,-9.8,,,,,,,,,,,,,,,,
4.74,-8.0,,,,,,,,,,,,,,,,
4.76,-6.4,,,,,,,,,,,,,,,,
4.78,-1.0,,,,,,,,,,,,,,,,
4.80,3.2,,,,,,,,,,,,,,,,
4.82,4.7,,,,,,,,,,,,,,,,
4.84,4.7,,,,,,,,,,,,,,,,
4.86,4.2,,,,,,,,,,,,,,,,
4.88,1.0,,,,,,,,,,,,,,,,
4.90,-7.5,,,,,,,,,,,,,,,,
4.92,-14.1,,,,,,,,,,,,,,,,
4.94,-14.1,,,,,,,,,,,,,,,,
4.96,-12.3,,,,,,,,,,,,,,,,
4.98,-6.6,,,,,,,,,,,,,,,,
5.00,-2.5,,,,,,,,,,,,,,,,
5.02,-3.4,,,,,,,,,,,,,,,,
5.04,-5.7,,,,,,,,,,,,,,,,
5.06,-10.3,,,,,,,,,,,,,,,,
5.08,-8.8,,,,,,,,,,,,,,,,
5.10,-4.3,,,,,,,,,,,,,,,,
5.12,0.6,,,,,,,,,,,,,,,,
5.14,5.1,,,,,,,,,,,,,,,,
5.16,3.8,,,,,,,,,,,,,,,,
5.18,0.9,,,,,,,,,,,,,,,,
5.20,-0.7,,,,,,,,,,,,,,,,
5.22,-0.2,,,,,,,,,,,,,,,,
5.24,2.1,,,,,,,,,,,,,,,,
5.26,3.0,,,,,,,,,,,,,,,,
5.28,4.1,,,,,,,,,,,,,,,,
5.30,8.2,,,,,,,,,,,,,,,,
5.32,10.1,,,,,,,,,,,,,,,,
5.34,5.4,,,,,,,,,,,,,,,,
5.36,1.8,,,,,,,,,,,,,,,,
5.38,0.8,,,,,,,,,,,,,,,,
5.40,0.9,,,,,,,,,,,,,,,,
5.42,0.9,,,,,,,,,,,,,,,,
5.44,-1.6,,,,,,,,,,,,,,,,
5.46,-3.5,,,,,,,,,,,,,,,,
5.48,-5.0,,,,,,,,,,,,,,,,
5.50,-6.9,,,,,,,,,,,,,,,,
5.52,-6.4,,,,,,,,,,,,,,,,
5.54,-1.7,,,,,,,,,,,,,,,,
5.56,-1.6,,,,,,,,,,,,,,,,
5.58,-0.7,,,,,,,,,,,,,,,,
5.60,-3.0,,,,,,,,,,,,,,,,
5.62,-9.4,,,,,,,,,,,,,,,,
5.64,-11.5,,,,,,,,,,,,,,,,
5.66,-8.9,,,,,,,,,,,,,,,,
5.68,2.5,,,,,,,,,,,,,,,,
5.70,12.6,,,,,,,,,,,,,,,,
5.72,16.3,,,,,,,,,,,,,,,,
5.74,12.8,,,,,,,,,,,,,,,,
5.76,2.7,,,,,,,,,,,,,,,,
5.78,-7.7,,,,,,,,,,,,,,,,
5.80,-15.1,,,,,,,,,,,,,,,,
5.82,-10.4,,,,,,,,,,,,,,,,
5.84,-2.5,,,,,,,,,,,,,,,,
5.86,3.2,,,,,,,,,,,,,,,,
5.88,6.4,,,,,,,,,,,,,,,,
5.90,3.0,,,,,,,,,,,,,,,,
5.92,-1.2,,,,,,,,,,,,,,,,
5.94,-3.8,,,,,,,,,,,,,,,,
5.96,-5.4,,,,,,,,,,,,,,,,
5.98,-0.8,,,,,,,,,,,,,,,,
6.00,0.7,,,,,,,,,,,,,,,,
6.02,-1.8,,,,,,,,,,,,,,,,
6.04,-6.3,,,,,,,,,,,,,,,,
6.06,-11.5,,,,,,,,,,,,,,,,
6.08,-13.2,,,,,,,,,,,,,,,,
6.10,-8.6,,,,,,,,,,,,,,,,
6.12,1.3,,,,,,,,,,,,,,,,
6.14,8.9,,,,,,,,,,,,,,,,
6.16,11.1,,,,,,,,,,,,,,,,
6.18,6.9,,,,,,,,,,,,,,,,
6.20,-2.7,,,,,,,,,,,,,,,,
6.22,-9.6,,,,,,,,,,,,,,,,
6.24,-10.4,,,,,,,,,,,,,,,,
6.26,-5.1,,,,,,,,,,,,,,,,
6.28,1.5,,,,,,,,,,,,,,,,
6.30,7.2,,,,,,,,,,,,,,,,
6.32,10.6,,,,,,,,,,,,,,,,
6.34,13.4,,,,,,,,,,,,,,,,
6.36,12.8,,,,,,,,,,,,,,,,
6.38,7.5,,,,,,,,,,,,,,,,
6.40,4.0,,,,,,,,,,,,,,,,
6.42,4.2,,,,,,,,,,,,,,,,
6.44,4.6,,,,,,,,,,,,,,,,
6.46,6.0,,,,,,,,,,,,,,,,
6.48,4.8,,,,,,,,,,,,,,,,
6.50,-0.8,,,,,,,,,,,,,,,,
6.52,-1.2,,,,,,,,,,,,,,,,
6.54,3.9,,,,,,,,,,,,,,,,
6.56,6.7,,,,,,,,,,,,,,,,
6.58,3.2,,,,,,,,,,,,,,,,
6.60,-3.3,,,,,,,,,,,,,,,,
6.62,-2.5,,,,,,,,,,,,,,,,
6.64,0.4,,,,,,,,,,,,,,,,
6.66,-1.1,,,,,,,,,,,,,,,,
6.68,-1.7,,,,,,,,,,,,,,,,
6.70,4.1,,,,,,,,,,,,,,,,
6.72,14.7,,,,,,,,,,,,,,,,
6.74,14.9,,,,,,,,,,,,,,,,
6.76,5.4,,,,,,,,,,,,,,,,
6.78,-5.4,,,,,,,,,,,,,,,,
6.80,-10.4,,,,,,,,,,,,,,,,
6.82,-8.3,,,,,,,,,,,,,,,,
6.84,-5.0,,,,,,,,,,,,,,,,
6.86,-4.2,,,,,,,,,,,,,,,,
6.88,-3.8,,,,,,,,,,,,,,,,
6.90,-2.3,,,,,,,,,,,,,,,,
6.92,-1.9,,,,,,,,,,,,,,,,
6.94,-1.4,,,,,,,,,,,,,,,,
6.96,-1.0,,,,,,,,,,,,,,,,
6.98,2.5,,,,,,,,,,,,,,,,
7.00,8.3,,,,,,,,,,,,,,,,
7.02,8.3,,,,,,,,,,,,,,,,
7.04,7.0,,,,,,,,,,,,,,,,
7.06,0.5,,,,,,,,,,,,,,,,
7.08,-5.2,,,,,,,,,,,,,,,,
7.10,-3.5,,,,,,,,,,,,,,,,
