Step,載荷Q,根元M,部材θ,累積変形角
660,560500,1137.8322512216248,0.016085609709159173,0.01646804188596139
680,560302,1127.9423576864542,0.01602009704271272,0.016533554552407844
700,555451,1118.0524641512836,0.01596659188553372,0.016587059709586842
720,550600,1108.1625706161133,0.015913086729451922,0.01664056486566864
740,545749,1098.2726770809425,0.015859581574467325,0.016694070020653238
760,540898,1088.382783545772,0.01580607642057992,0.01674757517454064
780,536047,1078.4928900106015,0.01575257126778974,0.01680108032733082
800,531196,1068.6029964754298,0.01569906611609676,0.016854585479023805
820,526345,1058.7131029402567,0.01564556096550096,0.0169080906296196
840,521494,1048.8232094050836,0.015592055816002379,0.016961595779118183
860,516643,1038.933315869911,0.015538550667600994,0.017015100927519563
880,511792,1029.043422334738,0.015485045520296812,0.017068606074823744
900,507040,1019.1535287995649,0.01543128489586919,0.01712236669925136
920,502189,1009.2636352643921,0.015377779750768986,0.017175871844351563
940,497338,999.3737417292191,0.015324274606766004,0.01722937698835455
960,492487,989.4838481940462,0.015270769463860195,0.017282882131260363
980,474469,952.8912421139063,0.015072979279358507,0.017480672315762058
1000,455164,913.3316679732145,0.014858703256800932,0.017694948338319628
1020,435760,873.7720938325227,0.014644682729955172,0.01790896886516538
1040,416356,834.212519691831,0.014430662220664671,0.018122989374455886
1060,396952,794.6529455511392,0.014216641728929455,0.018337009866191096
1080,377548,755.0933714104475,0.014002621254749515,0.018551030340371037
1100,358144,715.5337972697557,0.013788600798124847,0.0187650507969957
1120,338740,675.974223129064,0.013574580359055457,0.018979071236065105
1140,319336,636.4146489883722,0.013360559937541342,0.019193091657579212
1160,300031,596.8550748476804,0.013146284055770363,0.019407367539350198
1180,280627,557.2955007069887,0.01293226366940507,0.01962138792571548
1200,261223,517.7359265662969,0.012718243300595056,0.019835408294525493
1220,172024,335.7618855191168,0.011733596543645301,0.020820055051475234
1240,-21917,-59.833855887795536,0.009593139151681656,0.022960512443438892
1260,-215858,-455.429597294708,0.007420435604185874,0.025133215990934675
1280,-252686,-530.5927881620219,0.006832153253616239,0.025721498341504303
1300,-272090,-570.1523623027136,0.006488181224992441,0.026065470370128095
1320,-291395,-609.7119364434053,0.006124810541638999,0.026428841053481537
1340,-310799,-649.2715105840971,0.005736180903785479,0.026817470691335058
1360,-330203,-688.8310847247889,0.005319955670102259,0.027233695925018273
1380,-349607,-728.3906588654806,0.0048768172013448595,0.02767683439377568
1400,-369011,-767.9502330061724,0.004409776858532202,0.028143874736588335
1420,-388415,-807.5098071468641,0.003921059107776236,0.028632592487344306
1440,-407819,-847.0693812875559,0.003414698666869361,0.02913895292825118
1460,-427223,-886.6289554282477,0.002893011010431614,0.029660640584688928
1480,-446528,-926.1885295689394,0.0023056957089930383,0.030247955886127498
1500,-465932,-965.7481037096312,0.0013704120981418457,0.031183239496978696
1520,-479495,-993.4398056081154,0.00046654871563829434,0.03208710287948225
1540,-484346,-1003.3296991432884,0.00020101038182327526,0.03235264121329727
1560,-489197,-1013.2195926784614,-0.00010113732742785137,0.0326547889225484
1580,-494048,-1023.1094862136342,-0.00043170284303016955,0.03298535443815072
1600,-498899,-1032.999379748807,-0.0007891109483875387,0.03334276254350809
1620,-503750,-1042.8892732839802,-0.0011850292931600143,0.033738680888280574
1640,-508601,-1052.779166819153,-0.0016359912299169746,0.03418964282503754
1660,-513452,-1062.669060354326,-0.0021679887980797096,0.03472164039320028
1680,-518303,-1072.558953889499,-0.002813759769102416,0.03536741136422299
1700,-523154,-1082.4488474246696,-0.003548645695833038,0.036102297290953614
1720,-528005,-1092.3387409598404,-0.004315801334914709,0.036869452930035275
1740,-532856,-1102.2286344950107,-0.005091282650852656,0.03764493424597321
1760,-537707,-1112.1185280301813,-0.00587681552940222,0.03843046712452277
1780,-542558,-1122.008421565352,-0.006688660461072178,0.03924231205619272
1800,-547409,-1131.8983151005225,-0.00750870194202445,0.040062353537145
1820,-552260,-1141.788208635693,-0.008319425100809479,0.04087307669593001
1840,-557111,-1151.6781021708637,-0.009117831554306139,0.041671483149426675
1860,-561962,-1161.567995706034,-0.009904218039281962,0.0424578696344025
1880,-566813,-1171.4578892412048,-0.010712615638405384,0.04326626723352594
1900,-571664,-1181.3477827763752,-0.011580134649960086,0.04413378624508063
