,,,,,,,上フランジ,,,,骨格曲線累積塑性歪,,下フランジ,,,,骨格曲線累積塑性歪,
Step,載荷Q,根元M,部材θ,累積変形角,θ(危険断面),M(危険断面),εn,σn ,εt,σt,Σεpt,Σεpst+,εn,σn,εt,σt,Σεpt,Σεpst+
300,483400,1001.3517204362537,0.006762215351826697,0.006762215351826697,4.3084579999842204E-05,991.6815558413102,-0.012067005759177348,-375.8170242591424,-0.012140403128430911,-371.2820380630104,0.010439189538709233,0,0.01246535409273285,358.620420353704,0.012388301233084948,363.0907508782976,0.01070058491830059,0.01070058491830059
320,488300,1011.2416139714267,0.006983579197381793,0.006983579197381793,4.6771666201348824E-05,1001.4730695480383,-0.013087031689688878,-381.65673784000643,-0.013173421440301614,-376.661984017311,0.011472207850579936,0,0.013544755045359184,363.5870904878701,0.013453844835148483,368.51178856618316,0.011766128520364124,0.011766128520364124
340,493100,1021.1315075065995,0.007197199087243979,0.007197199087243979,4.9832674495588464E-05,1011.2666449648408,-0.013928488026189494,-386.47412909348424,-0.014026399652677445,-381.0911288139736,0.012325186062955767,0,0.014446236831598626,367.7350974479494,0.01434288413485679,373.0474857569735,0.012655167820072432,0.012655167820072432
360,498000,1031.0214010417724,0.007425807990527489,0.007425807990527489,5.290535337920073E-05,1021.058292830729,-0.014782290257239733,-391.3622013815444,-0.014892637112947782,-385.57697172501014,0.013191423523226104,0,0.01534201795687722,371.8568738377568,0.015225519238611849,377.5619086735639,0.01353780292382749,0.01353780292382749
380,502800,1040.9112945769455,0.007674698634721478,0.007674698634721478,5.5937875481633075E-05,1030.8519320250664,-0.015621622037797928,-396.16742941659885,-0.01574492539337731,-389.97865157056674,0.014043711803655632,0,0.016229404261443998,375.9400229637939,0.016099115265113574,382.0413055745299,0.014411398950329215,0.014411398950329215
400,507700,1050.8011881121183,0.007952651189006548,0.007952651189006548,5.8944052750366057E-05,1040.6434682743004,-0.016455080727543293,-400.93903363175275,-0.016591969321104873,-394.34154946651904,0.014890755731383196,0,0.01710766290851519,379.9811728088707,0.01696297469685114,386.48176262486714,0.015275258382066783,0.015275258382066783
420,512500,1060.6910816472914,0.008276587313494456,0.008276587313494456,6.198301349804927E-05,1050.4368706553662,-0.017279800861380187,-405.6606090563736,-0.01743083908945678,-398.6508745145733,0.0157296254997351,0,0.018013327024409116,384.14842400968877,0.01785300942221642,391.0682151972867,0.016165293107432064,0.016165293107432064
440,517400,1070.5809751824643,0.0086747324994666,0.0086747324994666,6.501355940743888E-05,1060.2282367754658,-0.018096857654099394,-410.33831136379126,-0.01826260854121128,-402.9124773530172,0.016561394951489603,0,0.01892186307249636,388.3288898920553,0.018745071293161938,395.67679597368726,0.01705735497837758,0.01705735497837758
460,522200,1080.4708687176355,0.009217835268138165,0.009217835268138165,6.804472451072544E-05,1070.0216034440887,-0.01891408138590965,-415.01696940816424,-0.019095240566806032,-407.16730467224465,0.017394026977084354,0,0.019830584750497475,392.5102099172192,0.01963652011928111,400.29391690041814,0.017948803804496753,0.017948803804496753
480,527100,1090.3607622528061,0.009954603572122644,0.009954603572122644,7.107527023859378E-05,1079.8129689777127,-0.01973113812968942,-419.6946714354005,-0.019928396097026988,-411.413617901014,0.01822718250730531,0,0.02073912074416593,396.69067554918723,0.020526993060496247,404.91769136748655,0.01883927674571189,0.01883927674571189
500,531900,1100.2506557879767,0.010768004274245492,0.010768004274245492,7.407430835524311E-05,1089.6063401550716,-0.020542057106549032,-423.5348796580651,-0.02075597984101746,-414.83460197351377,0.019054766251295784,0,0.021635854070926448,400.81683332354925,0.0214051211177254,409.48884783850843,0.019717404802941044,0.019717404802941044
520,536800,1110.1405493231473,0.011609883688834933,0.011609883688834933,7.710043842134036E-05,1099.3976728335492,-0.02135907137252924,-427.31412080433654,-0.021590477348039414,-418.18708799958716,0.019889263758317736,0,0.022541918264582,404.3887202639603,0.022291603952294525,413.5044177432694,0.020603887637510167,0.020603887637510167
540,541600,1120.0304428583179,0.01249879434932165,0.01249879434932165,8.016315647719197E-05,1109.1909159064842,-0.02218034648867151,-431.1130712518052,-0.022430029314360077,-421.5508339556448,0.0207288157246384,0,0.023464554809441623,407.4352339385257,0.023193494165782657,416.9955203165739,0.0215057778509983,0.0215057778509983
560,546400,1129.9203363934882,0.013422120103539645,0.013422120103539645,8.338793059636666E-05,1118.9840379895036,-0.023041224378870004,-435.0952111972443,-0.02331082269024781,-425.07008480987673,0.02160960910052613,0,0.024439863302701197,410.65566854865386,0.024145988391949362,420.69203695246233,0.022458272077165005,0.022458272077165005
580,551300,1139.810229928659,0.014363743647911903,0.014363743647911903,8.679181543606159E-05,1128.7751152986923,-0.023943098605739916,-439.2669868061552,-0.024234393659586014,-428.74957402680917,0.022533180069864336,0,0.025476161103553573,414.07748772415493,0.025157052139726275,424.62659251077025,0.023469335824941918,0.023469335824941918
600,556100,1149.7001234638294,0.015351329777597584,0.015351329777597584,9.037995861742194E-05,1138.5682213258751,-0.024902527746277686,-443.7049926474632,-0.02521784143883216,-432.6556167568978,0.02351662784911048,0,0.026559820690482384,417.6556938645314,0.026213232145612952,428.7485542039324,0.024525515830828595,0.024525515830828595
618,560500,1158.6010276454829,0.01627682579756028,0.01627682579756028,9.36284507238455E-05,1147.380409373976,-0.025772284235543137,-447.72820209231304,-0.026110208245897992,-436.18922360772126,0.024408994656176315,0,0.027539755606614497,420.8914047615398,0.027167358227698512,432.48265118559726,0.025479641912914155,0.025479641912914155
620,560500,1157.612038291966,0.016217656909156115,0.016335994685964448,9.344266470315728E-05,1146.3914558245745,-0.025722484296387394,-447.2982178708761,-0.026059092202315094,-435.79259648589044,0.024358898536349625,0,0.02748376898559037,420.505816961784,0.02711287065578705,432.06290169225866,0.025426125377536,0.025426125377536
640,560500,1147.7221447567954,0.01615163330809309,0.01640201828702747,9.337271188565658E-05,1136.5015627419252,-0.02570260909700603,-443.2134742732557,-0.02603869247396532,-431.82173159748424,0.024358898536349625,0,0.0274638130506868,416.42519491076456,0.02709344832591475,427.86181861338963,0.025426125377536,0.025426125377536
660,560500,1137.8322512216248,0.016085609709159173,0.01646804188596139,9.33027590681559E-05,1126.6116696592774,-0.02568273389762467,-439.12873067563595,-0.02601829316175586,-427.8507043388919,0.024358898536349625,0,0.027443857115783236,412.34457285974565,0.02707402561880844,423.66089839977724,0.025426125377536,0.025426125377536
680,560302,1127.9423576864542,0.01602009704271272,0.016533554552407844,9.323283428697522E-05,1116.7257403370204,-0.025662866664004656,-435.04562419833115,-0.02599790244123976,-423.8811063517707,0.024358898536349625,0,0.027423909178998927,408.2655862771713,0.027054610319087246,419.4618246361472,0.025426125377536,0.025426125377536
700,555451,1118.0524641512836,0.01596659188553372,0.016587059709586842,9.316356835535317E-05,1106.9329588238968,-0.025643186624650847,-431.0009898171158,-0.025977704257335404,-419.94875099982625,0.024358898536349625,0,0.02740414919688713,404.2250329719617,0.02703537758374283,415.3024760846419,0.025426125377536,0.025426125377536
