,,,,,,,上フランジ,,,,骨格曲線累積塑性歪,,下フランジ,,,,骨格曲線累積塑性歪,
Step,載荷Q,根元M,部材θ,累積変形角,θ(危険断面),M(危険断面),εn,σn ,εt,σt,Σεpt,Σεpst+,εn,σn,εt,σt,Σεpt,Σεpst+
5140,-607520,-1254.5329949366374,-0.01388100786874576,0.11156785289234254,-5.2215929032639834E-05,-1242.3720038789108,0.01568670008050296,460.1947133514967,0.015564935539202443,467.4136497984747,0.12207781803165392,0.038167829571560806,-0.014045049910682289,-479.1454588301149,-0.014144614987888136,-472.4158369463691,0.12306962635851215,0.03576084402095807
5160,-612371,-1264.4228884718082,-0.014936502216496863,0.11262334724009368,-5.6535230908579367E-05,-1252.1643477199223,0.016953100451282652,463.0355287147666,0.016811000419273775,470.88541654558077,0.12332388291172525,0.03941389445163214,-0.015238060028062569,-483.520550804898,-0.015355352328326527,-476.15263562693104,0.12428036369895053,0.03576084402095807
5180,-617222,-1274.3127820069785,-0.016052952968602374,0.1137397979921992,-6.097318168285919E-05,-1261.9566153793044,0.018260759408399444,465.9688961876517,0.018096034059082996,474.47784209273186,0.1246089165515345,0.04069892809144138,-0.01645737024182071,-487.99209237295986,-0.016594297142536633,-479.9610258336973,0.12551930851316068,0.03576084402095807
5184,-618212,-1276.2907607140128,-0.016283750299022234,0.11397059532261905,-6.190127018583634E-05,-1263.914587196903,0.018542995000639283,466.6020128741249,0.018373169834618848,475.254211666138,0.12488605232707035,0.040976063866977226,-0.01670358824317607,-488.8950406263598,-0.016844666387243003,-480.72873917360624,0.12576967775786707,0.03576084402095807
5200,-618212,-1268.378845885876,-0.016168708408917615,0.11408563721272368,-6.161351326436864E-05,-1256.0027285503234,0.018456874382762764,463.38194220297595,0.01828861350329813,471.93452450145685,0.12481619155715448,0.04090620309706136,-0.016625860069968863,-485.6011389267201,-0.016765620943479203,-477.52760234110696,0.12570579064629783,0.03576084402095807
5220,-618212,-1258.4889523507056,-0.01610268330781858,0.1141516623138227,-6.154356049884515E-05,-1246.1128355155504,0.018436918359047233,459.3013019915381,0.01826901893848845,467.76940259856013,0.12481619155715448,0.04090620309706136,-0.016605984988995286,-481.51641966421954,-0.016745410039693293,-473.5203652273208,0.12570579064629783,0.03576084402095807
5240,-618212,-1248.599058815535,-0.016036658209587575,0.1142176874120537,-6.147360773332159E-05,-1236.2229424807779,0.018416962335331702,455.22066178010033,0.018249423989724282,463.60444356236917,0.12481619155715448,0.04090620309706136,-0.01658610990802169,-477.43170040171873,-0.016725199544379874,-469.51296574528214,0.12570579064629783,0.03576084402095807
5260,-614612,-1238.7091652803645,-0.015979923689542503,0.11427442193209876,-6.140416472440515E-05,-1226.40511862413,0.018397151734243365,451.16975782417376,0.01822997145259581,459.4699963167669,0.12481619155715448,0.04090620309706136,-0.016566379659833028,-473.37674711940423,-0.016705136730069462,-465.5346082044874,0.12570579064629783,0.03576084402095807
5280,-609712,-1228.8192717451939,-0.01592654413885274,0.11432780148278852,-6.133490579397366E-05,-1216.6133197074842,0.018377393646798804,447.1295919436033,0.018210570103055167,455.34666846588345,0.12481619155715448,0.04090620309706136,-0.01654670171228988,-469.33254264633956,-0.01668512749887535,-461.5666370593,0.12570579064629783,0.03576084402095807
5300,-604912,-1218.9293782100235,-0.015872906517282234,0.11438143910435902,-6.126563270358679E-05,-1206.8195188622071,0.018357631519822663,443.0886000530404,0.01819116441038271,451.22265730344816,0.12481619155715448,0.04090620309706136,-0.01652701974159972,-465.28751133759386,-0.01666511457728752,-457.5976954521976,0.12570579064629783,0.03576084402095807
5320,-600112,-1209.0394846748527,-0.015819268897138566,0.11443507672450269,-6.119635961314531E-05,-1197.025718009216,0.01833786939283095,439.0476081592945,0.018171758341106774,447.09880585495443,0.12481619155715448,0.04090620309706136,-0.01650733777089406,-461.2424800256621,-0.016645102056192903,-453.6285946135936,0.12570579064629783,0.03576084402095807
5340,-595212,-1199.1495911396823,-0.015765889350676625,0.11448845627096467,-6.11271006825478E-05,-1187.23391906911,0.01831811130533905,435.0074422690442,0.018152355862062933,442.97595701517935,0.12481619155715448,0.04090620309706136,-0.01648765982330377,-457.1982755429077,-0.01662509402615041,-449.66014590395514,0.12570579064629783,0.03576084402095807
5360,-590412,-1189.2596976045115,-0.015712251733373407,0.1145420938882679,-6.105782759199665E-05,-1177.4401182006113,0.01829834917831605,430.96645036890004,0.018132949039612954,438.85242496188954,0.12481619155715448,0.04090620309706136,-0.01646797785256695,-453.153244224571,-0.016605082305912157,-445.6907266348619,0.12570579064629783,0.03576084402095807
5380,-585512,-1179.3698040693412,-0.015658872189725642,0.11459547343191565,-6.0988568661288386E-05,-1167.6483192448381,0.018278591090792537,426.92628447218533,0.018113545807519574,434.7298954519638,0.12481619155715448,0.04090620309706136,-0.01644829990494517,-449.10903973534573,-0.01658507507652994,-441.72195955975684,0.12570579064629783,0.03576084402095807
5400,-580712,-1169.4799105341706,-0.015605234575262868,0.11464911104637841,-6.0919295570627554E-05,-1157.8545183608323,0.018258828963738254,422.88529256564254,0.018094138231837083,430.60668279387903,0.12481619155715448,0.04090620309706136,-0.016428617934177176,-445.06400841060434,-0.01656506415708407,-437.7522218601731,0.12570579064629783,0.03576084402095807
5420,-575812,-1159.590016999,-0.015551855034429265,0.11470249058721202,-6.085003663980846E-05,-1148.0627193893918,0.018239070876183122,418.84512666246354,0.01807473424663549,426.4844726138041,0.12481619155715448,0.04090620309706136,-0.01640893998652392,-441.0198039149085,-0.016545057728298163,-433.7831364196002,0.12570579064629783,0.03576084402095807
5440,-571012,-1149.7001234638294,-0.01549821742280696,0.11475612819883434,-6.078076354903793E-05,-1138.2689184898782,0.01821930874909754,414.80413474952223,0.018055325917662235,422.3615793509261,0.12481619155715448,0.04090620309706136,-0.016389258015724755,-436.9747725837619,-0.016525047609580474,-429.81308028952395,0.12570579064629783,0.03576084402095807
5460,-566112,-1139.810229928659,-0.01544483788478754,0.11480950773685378,-6.071150461810804E-05,-1128.477119502771,0.018199550661510796,410.763968839879,0.018035921179293965,418.23968850070355,0.12481619155715448,0.04090620309706136,-0.016369580068040016,-432.9305680815952,-0.01650504198132669,-425.8436764834815,0.12570579064629783,0.03576084402095807
5480,-561312,-1129.9203363934882,-0.015391200276005702,0.11486314534563559,-6.064223152722782E-05,-1118.68331858775,0.01817978853439392,406.722976920539,0.018016512096971252,414.11711463303357,0.12481619155715448,0.04090620309706136,-0.016349898097209693,-428.88553674404375,-0.016485032663273103,-421.87330192291154,0.12570579064629783,0.03576084402095807
5500,-556412,-1120.0304428583179,-0.015337820740800439,0.11491652488084086,-6.0572972596187116E-05,-1108.8915195849756,0.018160030446775572,402.6828110044314,0.017997106605378052,409.995543112665,0.12481619155715448,0.04090620309706136,-0.016330220149493462,-424.84133223540624,-0.0164650278354875,-417.90357975139796,0.12570579064629783,0.03576084402095807
5520,-551612,-1110.1405493231473,-0.015284183134859065,0.11497016248678221,-6.050369950519721E-05,-1099.097718654447,0.01814026831962741,398.64181907869306,0.0179776967696474,405.8732886402049,0.12481619155715448,0.04090620309706136,-0.01631053817863198,-420.7963008914499,-0.016445019318033938,-413.93288676033285,0.12570579064629783,0.03576084402095807
5540,-546712,-1100.2506557879767,-0.015230803602467988,0.11502354201917328,-6.043444057404567E-05,-1089.3059196360057,0.01812051023197744,394.6016531561212,0.017958290524770795,401.7520364496919,0.12481619155715448,0.04090620309706136,-0.016290860230884264,-416.75209637634157,-0.01642501529065234,-409.9628462233466,0.12570579064629783,0.03576084402095807
5560,-541912,-1090.3607622528061,-0.015177165999367057,0.11507717962227422,-6.0365167482946086E-05,-1079.5121186899696,0.018100748104797986,390.56066122398414,0.017938879935573488,397.63010137244277,0.12481619155715448,0.04090620309706136,-0.016271178259991616,-412.7070650259803,-0.016405007573734857,-405.99183480178465,0.12570579064629783,0.03576084402095807
5580,-537012,-1080.4708687176355,-0.015123786469790148,0.11513055915185112,-6.0295908551683734E-05,-1069.7203196558614,0.01808099001711641,386.5204952949479,0.017919472937354994,393.50916851178675,0.12481619155715448,0.04090620309706136,-0.016251500312212414,-408.6628605044013,-0.016385004346693332,-402.0214758993244,0.12570579064629783,0.03576084402095807
5600,-532212,-1070.5809751824643,-0.015070148869529695,0.11518419675211156,-6.022663546047445E-05,-1059.9265186943169,0.018061227889905655,382.47950335641195,0.017900061594632973,389.38755282975006,0.12481619155715448,0.04090620309706136,-0.016231818341288597,-404.6178291476348,-0.016364997430247753,-398.0501460472638,0.12570579064629783,0.03576084402095807
5620,-527312,-1060.6910816472914,-0.015016769342766937,0.1152375762788743,-6.015737652910129E-05,-1050.1347196445392,0.018041469802192463,378.43933742091053,0.017880653843013884,385.2669392989516,0.12481619155715448,0.04090620309706136,-0.01621214039347791,-400.573624619584,-0.01634499500348215,-394.079468779327,0.12570579064629783,0.03576084402095807
5640,-522512,-1050.8011881121183,-0.014963131745346908,0.11529121387629433,-6.0088103437782304E-05,-1040.3409186674855,0.01802170767495042,374.3983454759754,0.017861241746708424,381.1456430121286,0.12481619155715448,0.04090620309706136,-0.01619245842252292,-396.52859325641197,-0.016324988887444426,-390.107820496766,0.12570579064629783,0.03576084402095807
5660,-517612,-1040.9112945769455,-0.014909752221398329,0.11534459340024292,-6.0018844506298314E-05,-1030.549119602041,0.018001949587205617,370.3581795340097,0.01784183324163046,377.0253488111902,0.12481619155715448,0.04090620309706136,-0.016172780474680744,-392.48438872189047,-0.01630498726089071,-386.13682486335205,0.12570579064629783,0.03576084402095807
5680,-512812,-1031.0214010417724,-0.014856114626818767,0.11539823099482242,-5.994957141486965E-05,-1020.7553186094798,0.017982187459932287,366.317187582676,0.01782242039168283,372.90437191958284,0.12481619155715448,0.04090620309706136,-0.01615309850369459,-388.4393573523135,-0.016284981945196914,-382.1648581502897,0.12570579064629783,0.03576084402095807
5700,-507912,-1021.1315075065995,-0.01480273510568436,0.11545161051595683,-5.988031248327482E-05,-1010.9635195283681,0.017962429372155864,362.2770216342459,0.01780301113308749,368.78439704850604,0.12481619155715448,0.04090620309706136,-0.01613342055582093,-384.3951528113211,-0.016264981118791058,-378.193544151397,0.12570579064629783,0.03576084402095807
5720,-503112,-1011.2416139714267,-0.014749097513945257,0.11550524810769595,-5.981103939173647E-05,-1001.1697185202994,0.017942667244851232,358.2360296765137,0.017783597529439612,364.66373955211606,0.12481619155715448,0.04090620309706136,-0.016113738584803625,-380.3501214353392,-0.01624497660337704,-374.22125900783186,0.12570579064629783,0.03576084402095807
5740,-498212,-1001.3517204362537,-0.014695717995625017,0.11555862762601618,-5.974178046003085E-05,-991.3779194235209,0.01792290915704319,354.1958637216194,0.017764187517268163,360.54408401090245,0.12481619155715448,0.04090620309706136,-0.016094060636898472,-376.30591688787604,-0.016224976577055145,-370.2496266434589,0.12570579064629783,0.03576084402095807
5760,-493412,-991.4618269010808,-0.014642080406726387,0.11561226521491481,-5.967250736838281E-05,-981.5841183999445,0.01790314702970728,350.15487175748876,0.01774477315986129,356.4237459097314,0.12481619155715448,0.04090620309706136,-0.01607437866584999,-372.2608855054892,-0.016204972861856997,-366.2770230693894,0.12570579064629783,0.03576084402095807
5780,-478412,-960.8031569420447,-0.014476113576533752,0.11577823204510745,-5.945777777578911E-05,-951.2257374802489,0.017841889282280816,337.6287878555199,0.01768459101882476,343.65272330694876,0.12481619155715448,0.04090620309706136,-0.016013369383253612,-359.722280397727,-0.016142968793783827,-353.9619146463319,0.12570579064629783,0.03576084402095807
5800,-459012,-921.2435828013529,-0.014262079396607657,0.11599226622503357,-5.9180713727737514E-05,-912.0545370494863,0.017762848851609416,321.4664719390527,0.01760693308334206,327.17663229096627,0.12481619155715448,0.04090620309706136,-0.015934649544964426,-343.5438084595317,-0.016062971071072935,-338.0695582683867,0.12570579064629783,0.03576084402095807
5820,-439612,-881.6840086606611,-0.014048045239300101,0.11620630038234112,-5.89036496788039E-05,-872.8833364940253,0.0176838084206864,305.30415597113415,0.017529269116388836,310.7030961753671,0.12481619155715448,0.04090620309706136,-0.015855929706424642,-327.3653364698336,-0.015982979747231268,-322.1746547064479,0.12570579064629783,0.03576084402095807
5840,-420212,-842.1244345199694,-0.013834011104611075,0.11642033451703013,-5.862658562898828E-05,-833.7121358138664,0.017604767989511768,289.14183995176427,0.017451599117027924,294.23211496017564,0.12481619155715448,0.04090620309706136,-0.015777209867634263,-311.1868644286328,-0.015902994821234993,-306.2772039604912,0.12570579064629783,0.03576084402095807
5860,-400812,-802.5648603792777,-0.013619976992540597,0.11663436862910058,-5.834952157829066E-05,-794.5409350090091,0.017525727558085517,272.97952388094285,0.01737392308432259,277.76368864541615,0.12481619155715448,0.04090620309706136,-0.015698490028593286,-295.0083923359291,-0.015823016292060753,-290.3772060304922,0.12570579064629783,0.03576084402095807
5880,-381412,-763.0052862385859,-0.013405942903088636,0.11684840271855257,-5.807245752671102E-05,-755.3697340794538,0.017446687126407647,256.8172077586702,0.017296241017335016,261.2978172311133,0.12481619155715448,0.04090620309706136,-0.015619770189301711,-278.8299201917226,-0.015743044158685656,-274.47466091642656,0.12570579064629783,0.03576084402095807
5900,-362012,-723.4457120978941,-0.013191908836255211,0.11706243678538598,-5.779539347424938E-05,-716.1985330252002,0.017367646694478156,240.6548915849461,0.017218552915127815,244.83450071729138,0.12481619155715448,0.04090620309706136,-0.015541050349759536,-262.6514479960133,-0.015663078420086612,-258.56956861827,0.12570579064629783,0.03576084402095807
5920,-342612,-683.8861379572023,-0.012977874792040347,0.11727647082960088,-5.751832942090571E-05,-677.0273318462484,0.017288606262297043,224.4925753597708,0.01714085877676317,228.3737391039749,0.12481619155715448,0.04090620309706136,-0.015462330509966768,-246.47297574880133,-0.015583119075241217,-242.66192913599832,0.12570579064629783,0.03576084402095807
5940,-323212,-644.3265638165107,-0.012763840770444021,0.11749050485119723,-5.724126536668004E-05,-637.8561305425987,0.017209565829864316,208.33025908314414,0.017063158601303034,211.9155323911882,0.12481619155715448,0.04090620309706136,-0.015383610669923399,-230.29450345008655,-0.015503166123126872,-226.75174246958707,0.12570579064629783,0.03576084402095807
5960,-303912,-604.7669896758189,-0.012549548700001353,0.11770479692163988,-5.696418715170768E-05,-598.6829271984449,0.017130521357674268,192.1671167503652,0.016985448416336715,195.45903964810003,0.12481619155715448,0.04090620309706136,-0.01530488680650819,-214.1152042694852,-0.015423215477069825,-210.83819530458834,0.12570579064629783,0.03576084402095807
5980,-284512,-565.2074155351271,-0.012335514723694695,0.11791883089794652,-5.6687123095720237E-05,-559.5117256457175,0.01705148092473895,176.00480037096742,0.016907736163562403,179.00594286715543,0.12481619155715448,0.04090620309706136,-0.015226166965964268,-197.93673186789655,-0.015343275307678803,-194.92291413977867,0.12570579064629783,0.03576084402095807
6000,-265112,-525.6478413944353,-0.012121480770006587,0.11813286485163463,-5.641005903885079E-05,-520.3405239682924,0.016972440491552013,159.84248394011834,0.01683001787087734,162.55540098681388,0.12481619155715448,0.04090620309706136,-0.01514744712516975,-181.75825941480525,-0.015263341527953337,-179.0050857907566,0.12570579064629783,0.03576084402095807
6020,-210812,-414.8810338004993,-0.011522134205768053,0.11873221141587315,-5.5634276842953296E-05,-410.66075822525346,0.01675112646938945,114.58783245920624,0.016612373716448747,116.5073077325836,0.12481619155715448,0.04090620309706136,-0.014927030764988278,-136.4583709062048,-0.015039560112232281,-134.4214526055477,0.12570579064629783,0.03576084402095807
6040,-16912,-19.285292393586904,-0.009381538475645419,0.12087280714599576,-5.2863622041225324E-05,-18.946729190612054,0.015960718077140824,-47.03616212223415,0.015834685098944364,-47.78689304529782,0.12481619155715448,0.04090620309706136,-0.014139828313132983,25.327184727607378,-0.014240748141018904,24.969062683904006,0.12570579064629783,0.03576084402095807
6060,176988,376.31044901332547,-0.007240945008431146,0.12301340061321003,-5.009296715134152E-05,372.7673123074653,0.015170309659743248,-208.66016184617692,0.015056391186338634,-211.82560111503557,0.12481619155715448,0.04090620309706136,-0.013352625836230717,187.11274550906242,-0.013442573735703275,184.61429902909003,0.12570579064629783,0.03576084402095807
6080,248788,522.6808733338835,-0.006439860780544698,0.12381448484109649,-4.9067832890827606E-05,517.7003697337854,0.014877860841439924,-268.460572226862,0.014768271106651795,-272.45469126186657,0.12481619155715448,0.04090620309706136,-0.013061363206597417,246.97293301169273,-0.013147412916635036,243.74712983142834,0.12570579064629783,0.03576084402095807
6100,268188,562.2404474745753,-0.006168438343439638,0.12408590727820155,-4.876552465535205E-05,556.8715972564779,0.014786852208273797,-287.0701656698929,0.014678592616759252,-291.31502978305826,0.12481619155715448,0.04090620309706136,-0.01298023753048377,263.64585184633637,-0.013065216983641005,260.2236660654442,0.12570579064629783,0.03576084402095807
6120,287588,601.800021615267,-0.005815008963354351,0.12443933665828683,-4.8301396942091966E-05,596.0429986444583,0.014618603727193457,-311.77202048892156,0.014512782003632423,-316.32969210967553,0.12486446420105468,0.04090620309706136,-0.012884211691633807,283.3810465944342,-0.01296793304699559,279.7299052007148,0.12570579064629783,0.03576084402095807
6140,306988,641.3595957559588,-0.0053813402734466855,0.12487300534819451,-4.7448977578773306E-05,635.2145387938135,0.014325912149274186,-313.64567428795664,0.014224265903109075,-318.1389346638058,0.12515298030157807,0.04090620309706136,-0.012691535684079434,318.73729421399867,-0.01277276120597928,314.6920284706348,0.1257272913948771,0.03576084402095807
6160,326388,680.9191698966506,-0.004879606824608957,0.12537473879703223,-4.595845122220684E-05,674.3857759372296,0.013901888423487479,-316.3600457445908,0.013806143508923696,-320.75804780218147,0.12557110269576344,0.04090620309706136,-0.0122668537024372,321.1428928715323,-0.01234271255697339,317.20347998709974,0.12615734004388296,0.03576084402095807
6180,345688,720.4787440373423,-0.0043093776108245494,0.12594496801081664,-4.437618859540669E-05,713.5590699488082,0.013442978029335868,-319.2977428574746,0.013353422899240311,-323.59005539952415,0.12602382330544679,0.04090620309706136,-0.011824823756888802,323.6467585629584,-0.011895293060957497,319.8196926834631,0.12660475953989886,0.03576084402095807
6200,365088,760.038318178034,-0.003639747891638586,0.12661459773000258,-4.2262296012644765E-05,752.7304772343733,0.012821252401618279,-323.2776953816015,0.012739755996482426,-327.4225203099025,0.1266374902082047,0.04090620309706136,-0.011242898947981765,326.9430546141329,-0.011306578078256756,323.26726688936174,0.12719347452259958,0.03576084402095807
6220,384488,799.5978923187258,-0.0028500969594628016,0.12740424866217834,-3.941127717677965E-05,791.901924358437,0.011985135917523355,-328.63006266868615,0.011913882928872374,-332.56873863635457,0.12746336327581473,0.04090620309706136,-0.010455645306935095,331.40242982641985,-0.010510689584805086,327.93740356629837,0.1279893630160513,0.03576084402095807
6240,403888,839.1574664594176,-0.0019145422642052328,0.12833980335743592,-3.5062099228792505E-05,831.0733504712316,0.010717051554719113,-336.7476555996329,0.010660030990813812,-340.3565975856249,0.1287172152138733,0.04090620309706136,-0.009247307746155458,338.24702257984546,-0.009290329525585492,335.11914826782885,0.12920972307527084,0.03576084402095807
6260,423288,878.7170406001094,-0.0008380739373227674,0.12941627168431843,-2.9853005375007477E-05,870.2447449002037,0.009229605888214564,-346.26948141955165,0.00918727335151554,-349.4654122641706,0.13018997285317158,0.04090620309706136,-0.007768695372314803,346.622579102797,-0.007799028889575023,343.92977387658124,0.13070102371128134,0.03576084402095807
6280,442688,918.276614740801,0.00036478059358314676,0.13061912621522437,-2.3666946274532314E-05,909.4161355671806,0.0074539964884487355,-357.6359762163073,0.007426352742554517,-360.30179352716664,0.1319508934621326,0.04090620309706136,-0.006021962720270075,356.51689509562533,-0.006040167861689824,354.36996364421304,0.13245988473916656,0.03576084402095807
6300,462088,957.8361888814928,0.001672333631392014,0.13192667925303328,-1.653312797099837E-05,948.5875980321481,0.005401875584654684,-370.7725486957978,0.005387337785493685,-372.77541587405784,0.13398990841919348,0.04090620309706136,-0.0040120874820318946,367.9017745675989,-0.004020157497317382,366.425720463239,0.134479895103539,0.03576084402095807
6320,478588,991.4618269010809,0.002842572652283993,0.1330969182739253,-1.002688934305455E-05,981.8830331534808,0.003545056245240061,-382.6589057756573,0.003538787344717199,-384.01545311937406,0.13583845885996995,0.04090620309706136,-0.0021642545466953058,378.3687701566341,-0.0021665999301823877,377.5498838254951,0.13633345267067395,0.03576084402095807
6340,483388,1001.3517204362538,0.003194620972170111,0.1334489665938114,-8.08086557132247E-06,991.6769262284364,0.002983817257706608,-386.2516554155143,0.0029793745103630317,-387.4041597707608,0.13639787169432413,0.04090620309706136,-0.0016174275986045113,381.46625540228445,-0.0016187370467717467,380.8492613528605,0.13688131555408456,0.03576084402095807
6360,488288,1011.2416139714268,0.003548859621296716,0.13380320524293804,-6.135242343113868E-06,1001.4688034593421,0.0024226937881050765,-389.8436655718045,0.0024197637968698476,-390.7881373987174,0.1369574824078173,0.04090620309706136,-0.0010707132020640634,384.5631031029715,-0.0010712868249382371,384.1513463114524,0.13742876577591803,0.03576084402095807
6380,493088,1021.1315075065996,0.003907832006045429,0.13416217762768673,-4.151866944883395E-06,1011.2625992550201,0.0018581577611771962,-393.4575210816384,0.0018564335216533904,-394.18862722812975,0.13752081268303373,0.04090620309706136,-0.0005059152772395123,387.7623844204452,-0.0005060432955528392,387.56620950622806,0.13799400930530342,0.03576084402095807
6400,497988,1031.0214010417726,0.004268411627513988,0.13452275724915527,-2.1439886987597924E-06,1021.054368699977,0.0012915368620259639,-397.08472282025554,0.0012907035457215372,-397.59757237712523,0.13808654265896567,0.04090620309706136,7.07496969520358E-05,391.0288862917922,7.074719431031887E-05,391.0565514669969,0.13857079979516657,0.03576084402095807
6420,502788,1040.9112945769457,0.0046313143730331635,0.13488565999467447,-1.3570025123531056E-07,1030.8481385638095,0.0007248002045178456,-400.7126655815104,0.0007245376637017922,-401.00310220347683,0.13865270854098544,0.04090620309706136,0.0006475324814643579,394.2960554962539,0.0006473229227662061,394.55137499950104,0.1391473755236225,0.03576084402095807
6440,507688,1050.8011881121186,0.004994833367049718,0.135249178988691,1.872177568862576E-06,1040.6399059311775,0.00015817942559057352,-404.3398665505184,0.00015816691654424618,-404.40382479835273,0.139219079288143,0.04090620309706136,0.0012241973333008236,397.56255667452444,0.0012234486147360444,398.04925169622567,0.13972350121559232,0.03576084402095807
6460,512488,1060.6910816472914,0.005360437800300535,0.13561478342194175,3.880465594699264E-06,1050.4336737385756,-0.0004085571129177416,-407.9678085500007,-0.00040864059511395783,-407.80113039997616,0.13978588679980122,0.04090620309706136,0.00180097999670392,400.8297251929666,0.0017993601767801294,401.5516115101234,0.14029941277763638,0.03576084402095807
6480,517388,1070.5809751824643,0.005726858704524531,0.1359812043261658,5.888349818739922E-06,1060.2254723358906,-0.0009751796990301943,-411.5950210876348,-0.000975655496103108,-411.19364197884823,0.14035290170079034,0.04090620309706136,0.002377646687760219,404.09623678944405,0.002374824558340292,405.05703486838286,0.1408748771591965,0.03576084402095807
6500,522188,1080.4708687176355,0.006095613344643826,0.1363499589662851,7.919863932378375E-06,1070.0193189317545,-0.0015553663076652124,-415.3090631900628,-0.0015565771455345037,-414.663105465909,0.14093382335022175,0.04090620309706136,0.002954204215430937,407.3621300331182,0.0029498491292587136,408.56556095486894,0.1414499017301149,0.03576084402095807
6520,527088,1090.3607622528061,0.0064648985667211,0.13671924418836234,9.955060625539486E-06,1079.811170846872,-0.002137807755905472,-419.03753956088565,-0.002140096128888738,-418.1417178587969,0.14151734233357602,0.04090620309706136,0.003530603764276614,410.6271284103609,0.003524385813921169,412.07689009564064,0.14202443841477735,0.03576084402095807
6540,531888,1100.2506557879767,0.006836387660557966,0.13709073328219915,1.1990673440811597E-05,1089.605024831914,-0.0027203682917827108,-422.76677826660386,-0.002724075217933314,-421.6166969281883,0.14210132142262052,0.04090620309706136,0.004107121165415316,413.89279435846873,0.004098709965959962,415.5927022143913,0.14259876256681617,0.03576084402095807
6560,536788,1110.1405493231473,0.007208417043824402,0.13746276266546548,1.4025862603168303E-05,1099.3968405144053,-0.003302807584824587,-426.4952408410077,-0.0033082738932242737,-425.08660912466644,0.14268552009791144,0.04090620309706136,0.004683518581419349,417.15778065429237,0.004672585033294535,419.1115468713704,0.1431726376341507,0.03576084402095807
6580,541588,1120.0304428583179,0.007582479915901201,0.13783682553754234,1.6077500934739668E-05,1109.1906102846906,-0.00388494979715002,-430.2218016647123,-0.0038925158167078737,-428.55041156360545,0.14326976202139505,0.04090620309706136,0.0052695792350906535,420.4775040771065,0.00525574358651323,422.693243601414,0.14375579618736936,0.03576084402095807
6600,546388,1129.9203363934882,0.007957640560959694,0.1382119861826008,1.8145176434727403E-05,1118.9843519178796,-0.0044666770216369766,-433.9457059598429,-0.004476682428508555,-432.007410646394,0.14385392863319577,0.04090620309706136,0.005865186440296712,423.85130366172854,0.005848053194784661,426.3372705806674,0.14434810579564075,0.03576084402095807
6620,551288,1139.810229928659,0.008332731642243211,0.13858707726388433,2.0212429074077604E-05,1128.7760906314466,-0.0050482852769989355,-437.6688486787278,-0.005061070917643596,-435.4593714737419,0.14443831712233085,0.04090620309706136,0.0064606718377807635,427.2244132700737,0.006439891154244654,429.9845700053001,0.14493994375510066,0.03576084402095807
6640,556088,1149.7001234638294,0.008709772289041608,0.13896411791068272,2.228010397484004E-05,1138.569829426348,-0.005630012332897702,-441.39275189464763,-0.005645920589550798,-438.9077052578291,0.14502316679423807,0.04090620309706136,0.007056278870376129,430.5982118769475,0.0070314998315469624,433.63663294103657,0.14553155243240298,0.03576084402095807
6660,560988,1159.590016999,0.009095724465202508,0.1393500700868437,2.4347356008800933E-05,1148.3615652724309,-0.00621162041793726,-445.1158935232204,-0.00623099279628354,-442.35100255066317,0.1456082390009708,0.04090620309706136,0.0076517640934739,433.97132049748666,0.007622637830442859,437.2919666652668,0.14612269043129886,0.03576084402095807
6680,565788,1169.4799105341706,0.009491674784235887,0.13974602040587703,2.6415030310338177E-05,1158.1553012290453,-0.006793347305247865,-448.83979565992945,-0.006816527127755406,-445.79067104359507,0.1461937733324427,0.04090620309706136,0.008247370953458599,437.3451181266123,0.008213547233558018,440.9520655504866,0.14671359983441407,0.03576084402095807
6700,570688,1179.3698040693412,0.009893507775372134,0.14014785339701327,2.848228173890984E-05,1167.9470342076445,-0.0073749552199650565,-452.5629361981901,-0.007402284654021577,-449.2253048095125,0.14677953085870887,0.04090620309706136,0.008842856002170118,440.71822575934556,0.008803986925400744,444.6154335672673,0.14730403952625673,0.03576084402095807
6720,575488,1189.2596976045115,0.010307915957699042,0.14056226157934018,3.0549955441222194E-05,1177.7407673259731,-0.007956681938687588,-456.28683725568914,-0.0079885052501409,-452.6563080188359,0.14736575145482822,0.04090620309706136,0.009438462689544241,444.09202241072376,0.009394198705243492,448.28356839497167,0.14789425130609948,0.03576084402095807
6740,580388,1199.1495911396823,0.010739812325501022,0.14099415794714212,3.261720626440489E-05,1187.53249743709,-0.008538289683082474,-460.00997670363813,-0.008574949703512554,-456.08227826543447,0.14795219590819983,0.04090620309706136,0.010033947563869572,447.46512905565163,0.009983941737691767,451.95497069725616,0.14848399433854773,0.03576084402095807
6760,585188,1209.0394846748527,0.011200078398477609,0.14145442402011876,3.4684879367492454E-05,1197.3262277171332,-0.009120016233216958,-463.7338766819274,-0.009161858175012954,-459.5046161986956,0.14853910437970028,0.04090620309706136,0.010629554078633146,450.83892472928244,0.010573457539336832,455.6311414604452,0.14907351014019282,0.03576084402095807
6780,590088,1218.9293782100235,0.011699182083641747,0.141953527705283,3.675212958528634E-05,1207.1179549607687,-0.009701623807289598,-467.45701503956514,-0.00974899116872518,-462.9219229335728,0.14912623737341252,0.04090620309706136,0.011225038778572347,454.212030386405,0.011162505554224985,459.3105780411865,0.14966255815508095,0.03576084402095807
